i,out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment,CDX-CORE SI,urban,heatstress,xtrprecip,xtrtemp,compound,extrcyclones,tropcyclones,mountains,drought,uncertainty,fire,energy,n_analyses,n_opt
506,wa100,day,m s-1,Upward Air Velocity at 100hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
507,wa100,6hr,m s-1,Upward Air Velocity at 100hPa,upward_air_velocity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
508,wa70,mon,m s-1,Upward Air Velocity at 70hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
509,wa70,day,m s-1,Upward Air Velocity at 70hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
510,wa70,6hr,m s-1,Upward Air Velocity at 70hPa,upward_air_velocity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
511,wa50,mon,m s-1,Upward Air Velocity at 50hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
512,wa50,day,m s-1,Upward Air Velocity at 50hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
513,wa50,6hr,m s-1,Upward Air Velocity at 50hPa,upward_air_velocity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
514,wa30,mon,m s-1,Upward Air Velocity at 30hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
515,wa30,day,m s-1,Upward Air Velocity at 30hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
516,wa30,6hr,m s-1,Upward Air Velocity at 30hPa,upward_air_velocity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
517,wa20,mon,m s-1,Upward Air Velocity at 20hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
518,wa20,day,m s-1,Upward Air Velocity at 20hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
519,wa20,6hr,m s-1,Upward Air Velocity at 20hPa,upward_air_velocity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
520,wa10,mon,m s-1,Upward Air Velocity at 10hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
521,wa10,day,m s-1,Upward Air Velocity at 10hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
522,wa10,6hr,m s-1,Upward Air Velocity at 10hPa,upward_air_velocity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
523,ua200m,mon,m s-1,Eastward Wind at 200m,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
524,ua200m,day,m s-1,Eastward Wind at 200m,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
525,ua200m,1hr,m s-1,Eastward Wind at 200m,eastward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
526,ua250m,mon,m s-1,Eastward Wind at 250m,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
527,ua250m,day,m s-1,Eastward Wind at 250m,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
528,ua250m,1hr,m s-1,Eastward Wind at 250m,eastward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
529,ua300m,mon,m s-1,Eastward Wind at 300m,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
530,ua300m,day,m s-1,Eastward Wind at 300m,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
531,ua300m,1hr,m s-1,Eastward Wind at 300m,eastward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
532,va200m,mon,m s-1,Northward Wind at 200m,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
533,va200m,day,m s-1,Northward Wind at 200m,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
534,va200m,1hr,m s-1,Northward Wind at 200m,northward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
535,va250m,mon,m s-1,Northward Wind at 250m,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
536,va250m,day,m s-1,Northward Wind at 250m,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
537,va250m,1hr,m s-1,Northward Wind at 250m,northward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
538,va300m,mon,m s-1,Northward Wind at 300m,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
539,va300m,day,m s-1,Northward Wind at 300m,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
540,va300m,1hr,m s-1,Northward Wind at 300m,northward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
541,sftgif,fx,%,Percentage of the Grid Cell Covered by Glacier,land_ice_area_fraction,area: mean,TIER2,,,,,,,,,,,,,,,0,0
542,mrsofc,fx,kg m-2,Capacity of Soil to Store Water  (Field Capacity),soil_moisture_content_at_field_capacity,area: mean where land,TIER2,,,,,,,,,,,,,,,0,0
543,rootd,fx,m,Maximum Root Depth,root_depth,area: mean,TIER2,,,,,,,,,,,,,,,0,0
544,sftlaf,fx,%,Percentage of the Grid Cell Occupied by Lake,area_fraction,area: mean,TIER2,not in CMIP or in CF,1,1,,,,,,,,,1,,,3,0
545,sfturf,fx,%,Percentage of the Grid Cell Occupied by Urban Area,area_fraction,area: mean,TIER2,not in CMIP or in CF,,1,1,,,,,,,,,,,2,0
546,dtb,fx,m,Depth to Bedrock,bedrock_depth_below_ground_level,area: mean,TIER2,not in CMIP or in CF (lower boundary of land surface models),,,,,,,,,,,,,,0,0
547,areacella,fx,m2,Atmosphere Grid-Cell Area,cell_area,area: sum,TIER2,,,,,,,,,,,,,,,0,0
